Date,Campaign,Channel,Impressions,Clicks,Conversions,Cost,Revenue,CTR,CPC,CVR,ROI
2025-11-11,Campaign_009,Twitter,16422,1914,151,2307.28,1562.64,11.66,1.21,7.89,-32.27
2025-11-10,Campaign_005,Facebook,48377,576,59,824.16,6532.8,1.19,1.43,10.24,692.66
2025-11-09,Campaign_003,LinkedIn,84333,4501,122,4429.24,1142.31,5.34,0.98,2.71,-74.21
2025-11-08,Campaign_004,LinkedIn,50337,1342,125,1628.01,7297.8,2.67,1.21,9.31,348.27
2025-11-07,Campaign_002,Google Ads,10700,1051,33,1193.64,2441.95,9.82,1.14,3.14,104.58
2025-11-06,Campaign_006,Facebook,79728,2161,150,4742.64,9002.15,2.71,2.19,6.94,89.81
2025-11-05,Campaign_007,Google Ads,45960,809,157,771.2,2256.81,1.76,0.95,19.41,192.64
2025-11-04,Campaign_005,Instagram,81967,1885,81,4805.39,5385.43,2.3,2.55,4.3,12.07
2025-11-03,Campaign_006,Facebook,77832,3902,103,3280.54,5168.5,5.01,0.84,2.64,57.55
2025-11-02,Campaign_001,Instagram,63902,4754,14,3920.11,9682.3,7.44,0.82,0.29,146.99
2025-11-01,Campaign_004,Twitter,5617,785,199,2832.64,2018.38,13.98,3.61,25.35,-28.75
2025-10-31,Campaign_006,LinkedIn,87973,1592,149,1195.41,7581.13,1.81,0.75,9.36,534.19
2025-10-30,Campaign_008,Instagram,36022,700,54,1970.37,9404.65,1.94,2.81,7.71,377.3
2025-10-29,Campaign_010,Instagram,61917,3946,41,4534.41,3676.07,6.37,1.15,1.04,-18.93
2025-10-28,Campaign_006,Facebook,62864,2109,183,2772.19,6176.93,3.35,1.31,8.68,122.82
2025-10-27,Campaign_010,Facebook,10214,3140,198,708.85,3452.56,30.74,0.23,6.31,387.06
2025-10-26,Campaign_001,Twitter,46946,2460,102,1063.55,1704.98,5.24,0.43,4.15,60.31
2025-10-25,Campaign_007,Twitter,52148,3154,88,1346.37,3634.32,6.05,0.43,2.79,169.93
2025-10-24,Campaign_006,Facebook,31618,3054,84,940.28,7568.07,9.66,0.31,2.75,704.87
2025-10-23,Campaign_010,LinkedIn,99467,3354,103,2479.56,9447.45,3.37,0.74,3.07,281.01
2025-10-22,Campaign_002,Twitter,95679,4060,102,1323.04,7395.68,4.24,0.33,2.51,458.99
2025-10-21,Campaign_008,Facebook,34355,1302,182,2448.94,4915.65,3.79,1.88,13.98,100.73
2025-10-20,Campaign_006,Google Ads,88291,2194,17,1815.18,4392.58,2.48,0.83,0.77,141.99
2025-10-19,Campaign_004,Twitter,71220,166,157,4558.36,6710.84,0.23,27.46,94.58,47.22
2025-10-18,Campaign_009,Twitter,44070,640,101,2119.47,1444.05,1.45,3.31,15.78,-31.87
2025-10-17,Campaign_002,Instagram,41687,4977,141,4452.0,2061.34,11.94,0.89,2.83,-53.7
2025-10-16,Campaign_009,Facebook,44331,1828,101,3808.79,9753.57,4.12,2.08,5.53,156.08
2025-10-15,Campaign_010,Twitter,40398,583,2,4420.37,6962.58,1.44,7.58,0.34,57.51
2025-10-14,Campaign_010,LinkedIn,29864,1468,108,4492.7,9961.68,4.92,3.06,7.36,121.73
2025-10-13,Campaign_010,Instagram,53778,4876,33,1829.55,4899.46,9.07,0.38,0.68,167.8
2025-10-12,Campaign_008,Facebook,25500,1771,160,827.2,3206.71,6.95,0.47,9.03,287.66
2025-10-11,Campaign_005,Instagram,83112,1315,54,4465.02,6228.95,1.58,3.4,4.11,39.51
2025-10-10,Campaign_004,Instagram,25535,3987,120,1658.47,3863.84,15.61,0.42,3.01,132.98
2025-10-09,Campaign_008,Twitter,94799,411,166,732.44,8536.77,0.43,1.78,40.39,1065.52
2025-10-08,Campaign_003,Instagram,49463,3759,75,4237.73,5825.41,7.6,1.13,2.0,37.47
2025-10-07,Campaign_009,LinkedIn,75395,4441,129,616.43,9894.31,5.89,0.14,2.9,1505.1
2025-10-06,Campaign_006,Instagram,37106,2751,75,767.97,6336.18,7.41,0.28,2.73,725.06
2025-10-05,Campaign_009,Facebook,19256,3429,195,4105.06,2711.24,17.81,1.2,5.69,-33.95
2025-10-04,Campaign_001,Twitter,33515,4001,86,4548.53,1972.64,11.94,1.14,2.15,-56.63
2025-10-03,Campaign_010,Google Ads,25287,3840,57,2638.13,3272.44,15.19,0.69,1.48,24.04
2025-10-02,Campaign_010,LinkedIn,65568,2421,137,2446.37,7256.71,3.69,1.01,5.66,196.63
2025-10-01,Campaign_005,Instagram,86424,2723,184,4599.54,2711.4,3.15,1.69,6.76,-41.05
2025-09-30,Campaign_003,Twitter,61360,1114,38,4344.04,4605.31,1.82,3.9,3.41,6.01
2025-09-29,Campaign_005,Google Ads,28103,671,178,2845.84,4998.74,2.39,4.24,26.53,75.65
2025-09-28,Campaign_005,Twitter,91695,3267,8,2023.44,6483.39,3.56,0.62,0.24,220.41
2025-09-27,Campaign_010,Instagram,51209,197,106,2896.59,8942.25,0.38,14.7,53.81,208.72
2025-09-26,Campaign_007,LinkedIn,15344,4379,104,465.99,8318.22,28.54,0.11,2.37,1685.06
2025-09-25,Campaign_002,Facebook,5075,2477,44,1855.06,9880.32,48.81,0.75,1.78,432.61
2025-09-24,Campaign_004,Google Ads,46620,4264,27,1590.35,5427.39,9.15,0.37,0.63,241.27
2025-09-23,Campaign_004,Google Ads,25389,3440,180,567.85,1647.06,13.55,0.17,5.23,190.05
2025-09-22,Campaign_006,Twitter,59149,4979,83,1942.58,3397.9,8.42,0.39,1.67,74.92
2025-09-21,Campaign_007,Twitter,12884,1029,69,2044.92,1349.69,7.99,1.99,6.71,-34.0
2025-09-20,Campaign_009,Google Ads,93297,860,14,1686.07,3990.0,0.92,1.96,1.63,136.64
2025-09-19,Campaign_005,LinkedIn,81630,1164,16,1897.4,9200.48,1.43,1.63,1.37,384.9
2025-09-18,Campaign_003,Instagram,66205,2539,175,3652.85,7895.41,3.84,1.44,6.89,116.14
2025-09-17,Campaign_002,Twitter,11530,3157,50,3492.97,9940.84,27.38,1.11,1.58,184.6
2025-09-16,Campaign_001,Instagram,57354,3639,120,1992.97,2654.87,6.34,0.55,3.3,33.21
2025-09-15,Campaign_002,Google Ads,77443,1350,33,4238.4,6540.58,1.74,3.14,2.44,54.32
2025-09-14,Campaign_001,LinkedIn,78459,1933,69,1517.65,9439.58,2.46,0.79,3.57,521.99
2025-09-13,Campaign_001,Instagram,32164,802,122,2436.68,2022.85,2.49,3.04,15.21,-16.98
2025-09-12,Campaign_008,Instagram,36582,703,44,987.17,7246.74,1.92,1.4,6.26,634.09
2025-09-11,Campaign_004,Instagram,67590,217,133,3465.67,1194.52,0.32,15.97,61.29,-65.53
2025-09-10,Campaign_001,Google Ads,72206,4615,109,2693.54,6655.33,6.39,0.58,2.36,147.08
2025-09-09,Campaign_009,Google Ads,37572,4930,106,2798.81,4218.45,13.12,0.57,2.15,50.72
2025-09-08,Campaign_006,LinkedIn,44428,1425,94,1541.69,3915.17,3.21,1.08,6.6,153.95
2025-09-07,Campaign_002,Twitter,40638,4229,184,4293.28,6027.99,10.41,1.02,4.35,40.41
2025-09-06,Campaign_005,LinkedIn,82678,2533,73,863.85,3128.65,3.06,0.34,2.88,262.18
2025-09-05,Campaign_009,Instagram,89130,3789,178,288.72,1418.08,4.25,0.08,4.7,391.16
2025-12-03,Campaign_002,Instagram,59471,3031,78,4292.33,9970.02,5.1,1.42,2.57,132.28
2025-12-02,Campaign_007,LinkedIn,20301,575,34,1338.28,2842.24,2.83,2.33,5.91,112.38
2025-12-01,Campaign_004,Facebook,23930,2281,98,2852.28,4576.02,9.53,1.25,4.3,60.43
2025-11-30,Campaign_010,LinkedIn,32693,4817,145,3670.44,1832.8,14.73,0.76,3.01,-50.07
2025-11-29,Campaign_006,Facebook,56988,1218,36,2979.27,590.95,2.14,2.45,2.96,-80.16
2025-11-28,Campaign_008,Facebook,37363,1259,120,4877.57,5522.9,3.37,3.87,9.53,13.23
2025-11-27,Campaign_006,Instagram,23354,1973,82,1812.93,2884.68,8.45,0.92,4.16,59.12
2025-11-26,Campaign_002,Google Ads,36412,2192,24,4167.74,1547.65,6.02,1.9,1.09,-62.87
2025-11-25,Campaign_007,Instagram,60047,4812,72,4080.24,2050.23,8.01,0.85,1.5,-49.75
2025-11-24,Campaign_010,Instagram,30175,4492,115,3266.82,2254.44,14.89,0.73,2.56,-30.99
2025-11-23,Campaign_002,Facebook,93523,4460,18,4221.1,1677.47,4.77,0.95,0.4,-60.26
2025-11-22,Campaign_007,Google Ads,85091,252,148,4472.17,5425.52,0.3,17.75,58.73,21.32
2025-11-21,Campaign_005,Instagram,5635,1126,91,4943.16,1353.86,19.98,4.39,8.08,-72.61
2025-11-20,Campaign_003,LinkedIn,86497,3244,51,2013.82,8185.64,3.75,0.62,1.57,306.47
2025-11-19,Campaign_001,Instagram,3221,4321,150,3218.8,883.15,134.15,0.74,3.47,-72.56
2025-11-18,Campaign_010,Instagram,86916,1759,151,1731.87,2238.02,2.02,0.98,8.58,29.23
2025-11-17,Campaign_009,Instagram,28327,3749,104,564.67,8433.85,13.23,0.15,2.77,1393.59
2025-11-16,Campaign_004,Google Ads,97423,1834,134,597.19,4348.65,1.88,0.33,7.31,628.19
2025-11-15,Campaign_004,Facebook,44029,116,68,3695.37,2932.94,0.26,31.86,58.62,-20.63
2025-11-14,Campaign_008,Google Ads,52868,583,27,4205.55,7612.11,1.1,7.21,4.63,81.0
2025-11-13,Campaign_002,Google Ads,47391,3930,59,102.08,8358.4,8.29,0.03,1.5,8088.09
2025-11-12,Campaign_007,LinkedIn,39933,1264,49,901.1,6351.74,3.17,0.71,3.88,604.89
2025-11-11,Campaign_005,Facebook,92600,3978,57,4694.33,4234.87,4.3,1.18,1.43,-9.79
2025-11-10,Campaign_006,LinkedIn,19324,1821,143,3017.47,9844.14,9.42,1.66,7.85,226.24
2025-11-09,Campaign_010,Instagram,59595,1605,91,3527.64,8614.23,2.69,2.2,5.67,144.19
2025-11-08,Campaign_006,Instagram,81014,4988,20,451.97,7281.36,6.16,0.09,0.4,1511.03
2025-11-07,Campaign_006,Google Ads,45651,2101,4,2719.64,1080.44,4.6,1.29,0.19,-60.27
2025-11-06,Campaign_006,Instagram,49543,4211,138,3427.83,1711.81,8.5,0.81,3.28,-50.06
2025-11-05,Campaign_006,Instagram,30818,2723,73,2306.54,2164.62,8.84,0.85,2.68,-6.15
2025-11-04,Campaign_010,Instagram,91255,2928,119,811.68,7843.47,3.21,0.28,4.06,866.33
2025-11-03,Campaign_007,LinkedIn,54524,2896,20,3480.63,737.61,5.31,1.2,0.69,-78.81
2025-11-02,Campaign_001,Instagram,18493,132,47,643.16,6114.56,0.71,4.87,35.61,850.71
2025-11-01,Campaign_009,Google Ads,47075,931,62,3905.58,9201.36,1.98,4.2,6.66,135.6
2025-10-31,Campaign_007,Instagram,64752,1800,75,3327.35,1307.81,2.78,1.85,4.17,-60.7
2025-10-30,Campaign_010,Twitter,1986,2504,68,3672.82,1998.82,126.08,1.47,2.72,-45.58
2025-10-29,Campaign_008,LinkedIn,66659,2732,110,3371.49,2201.84,4.1,1.23,4.03,-34.69
2025-10-28,Campaign_005,Facebook,3497,1193,150,4321.87,5556.77,34.11,3.62,12.57,28.57
2025-10-27,Campaign_003,Google Ads,95647,403,177,3683.38,1628.4,0.42,9.14,43.92,-55.79
2025-10-26,Campaign_010,Twitter,49859,3081,39,530.37,7749.23,6.18,0.17,1.27,1361.1
2025-10-25,Campaign_005,Twitter,18505,844,66,3189.52,7611.86,4.56,3.78,7.82,138.65
2025-10-24,Campaign_006,LinkedIn,57806,4282,39,66.69,7862.45,7.41,0.02,0.91,11689.55
2025-10-23,Campaign_002,Twitter,77414,1048,116,694.83,6322.72,1.35,0.66,11.07,809.97
2025-10-22,Campaign_006,Google Ads,56441,4810,54,4653.99,8788.08,8.52,0.97,1.12,88.83
2025-10-21,Campaign_003,Facebook,4682,4367,195,2675.36,981.38,93.27,0.61,4.47,-63.32
2025-10-20,Campaign_009,Facebook,19717,3774,62,343.92,5545.54,19.14,0.09,1.64,1512.45
2025-10-19,Campaign_002,Google Ads,55511,253,123,1742.73,2583.16,0.46,6.89,48.62,48.22
2025-10-18,Campaign_009,Instagram,9893,918,122,4902.34,5222.96,9.28,5.34,13.29,6.54
2025-10-17,Campaign_008,Facebook,44866,4223,11,2783.92,5439.79,9.41,0.66,0.26,95.4
2025-10-16,Campaign_007,Facebook,26518,2630,67,4681.88,5618.87,9.92,1.78,2.55,20.01
2025-10-15,Campaign_006,LinkedIn,55520,1882,113,4658.64,6985.82,3.39,2.48,6.0,49.95
2025-10-14,Campaign_003,Instagram,29914,2494,138,2201.67,7175.13,8.34,0.88,5.53,225.89
2025-10-13,Campaign_008,Twitter,43786,1536,165,4373.04,3852.51,3.51,2.85,10.74,-11.9
2025-10-12,Campaign_002,LinkedIn,38645,1573,1,2305.97,4367.55,4.07,1.47,0.06,89.4
2025-10-11,Campaign_010,LinkedIn,5605,2448,169,4782.7,1292.28,43.68,1.95,6.9,-72.98
2025-10-10,Campaign_005,Google Ads,17392,3979,15,2326.04,4847.59,22.88,0.58,0.38,108.41
2025-10-09,Campaign_003,Instagram,99641,1654,186,3842.09,8201.19,1.66,2.32,11.25,113.46
2025-10-08,Campaign_003,Twitter,98450,2729,145,3965.82,297.75,2.77,1.45,5.31,-92.49
2025-10-07,Campaign_003,Facebook,49920,3748,152,2671.48,1815.06,7.51,0.71,4.06,-32.06
2025-10-06,Campaign_004,Twitter,69865,3943,26,2457.49,8551.34,5.64,0.62,0.66,247.97
2025-10-05,Campaign_007,Instagram,50254,3171,116,4570.25,9408.4,6.31,1.44,3.66,105.86
2025-10-04,Campaign_003,Google Ads,64971,27,60,3766.31,5764.3,0.04,139.49,222.22,53.05
2025-10-03,Campaign_001,Google Ads,78212,4709,60,240.39,5546.95,6.02,0.05,1.27,2207.48
2025-10-02,Campaign_010,LinkedIn,36632,2588,61,900.37,661.22,7.06,0.35,2.36,-26.56
2025-10-01,Campaign_006,LinkedIn,21809,1103,159,2934.2,9777.05,5.06,2.66,14.42,233.21
2025-09-30,Campaign_007,LinkedIn,86456,3984,82,4756.27,5498.43,4.61,1.19,2.06,15.6
2025-09-29,Campaign_008,LinkedIn,83010,1742,194,1394.32,1629.22,2.1,0.8,11.14,16.85
2025-09-28,Campaign_008,Instagram,71732,2952,50,4347.24,4608.58,4.12,1.47,1.69,6.01
2025-09-27,Campaign_003,Instagram,13557,2727,19,3299.01,573.89,20.12,1.21,0.7,-82.6
2025-09-26,Campaign_008,LinkedIn,15066,3866,179,4730.8,2243.84,25.66,1.22,4.63,-52.57
2025-09-25,Campaign_004,Google Ads,90352,835,67,4177.0,5203.05,0.92,5.0,8.02,24.56
2025-09-24,Campaign_003,Google Ads,80050,4187,17,692.63,6925.84,5.23,0.17,0.41,899.93
2025-09-23,Campaign_007,Facebook,17399,2127,183,3581.75,2718.44,12.22,1.68,8.6,-24.1
2025-09-22,Campaign_010,Instagram,37745,4611,84,4048.58,4060.92,12.22,0.88,1.82,0.3
2025-09-21,Campaign_005,Twitter,66303,2590,35,1591.89,9965.53,3.91,0.61,1.35,526.02
2025-09-20,Campaign_002,Google Ads,48041,4740,11,2698.94,2125.42,9.87,0.57,0.23,-21.25
2025-09-19,Campaign_002,Google Ads,79576,69,58,2216.89,5506.89,0.09,32.13,84.06,148.41
2025-09-18,Campaign_001,Instagram,27617,2343,36,3853.54,5510.61,8.48,1.64,1.54,43.0
2025-09-17,Campaign_008,Facebook,87010,4255,139,2795.0,4790.17,4.89,0.66,3.27,71.38
2025-09-16,Campaign_003,LinkedIn,80287,51,145,4420.13,130.19,0.06,86.67,284.31,-97.05
2025-09-15,Campaign_005,Facebook,50034,2886,15,2986.15,8289.78,5.77,1.03,0.52,177.61
2025-09-14,Campaign_003,Instagram,45488,3129,72,3504.92,2990.5,6.88,1.12,2.3,-14.68
2025-09-13,Campaign_005,Instagram,2328,3748,156,1523.22,3817.31,161.0,0.41,4.16,150.61
2025-09-12,Campaign_003,Google Ads,94900,3177,113,1783.8,2397.86,3.35,0.56,3.56,34.42
2025-09-11,Campaign_008,Twitter,33632,467,22,4201.87,9546.57,1.39,9.0,4.71,127.2
2025-09-10,Campaign_008,Instagram,18823,4289,57,4359.35,7012.21,22.79,1.02,1.33,60.85
2025-09-09,Campaign_008,Facebook,83464,3903,181,2164.72,8087.94,4.68,0.55,4.64,273.63
2025-09-08,Campaign_003,LinkedIn,24009,3463,173,2736.48,4157.34,14.42,0.79,5.0,51.92
2025-09-07,Campaign_010,LinkedIn,75887,588,30,1587.49,5544.34,0.77,2.7,5.1,249.25
2025-09-06,Campaign_002,LinkedIn,99792,2996,92,110.47,1131.08,3.0,0.04,3.07,923.88
2025-09-05,Campaign_003,Instagram,31393,3714,45,1117.08,5019.84,11.83,0.3,1.21,349.37
2025-12-03,Campaign_002,Instagram,91559,2302,117,2841.13,8340.75,2.51,1.23,5.08,193.57
2025-12-02,Campaign_005,Twitter,19049,668,111,2152.41,4244.61,3.51,3.22,16.62,97.2
2025-12-01,Campaign_002,Facebook,87324,2798,122,2254.0,9059.64,3.2,0.81,4.36,301.94
2025-11-30,Campaign_007,LinkedIn,72054,944,127,3595.69,1203.01,1.31,3.81,13.45,-66.54
2025-11-29,Campaign_004,Google Ads,8788,1668,67,1854.58,1644.54,18.98,1.11,4.02,-11.33
2025-11-28,Campaign_010,LinkedIn,73127,2754,32,4677.46,7536.94,3.77,1.7,1.16,61.13
2025-11-27,Campaign_006,Facebook,80838,4635,52,3597.45,1307.47,5.73,0.78,1.12,-63.66
2025-11-26,Campaign_009,Google Ads,70036,4588,142,3800.71,1400.33,6.55,0.83,3.1,-63.16
2025-11-25,Campaign_003,Facebook,4391,614,29,927.88,4469.99,13.98,1.51,4.72,381.74
2025-11-24,Campaign_007,Twitter,85103,2838,95,2330.22,2131.6,3.33,0.82,3.35,-8.52
2025-11-23,Campaign_002,Google Ads,51170,3447,126,4292.62,9756.93,6.74,1.25,3.66,127.3
2025-11-22,Campaign_005,Facebook,77251,1104,93,650.09,1029.31,1.43,0.59,8.42,58.33
2025-11-21,Campaign_009,LinkedIn,2905,3042,177,552.66,439.54,104.72,0.18,5.82,-20.47
2025-11-20,Campaign_002,Facebook,1654,228,103,4985.61,420.3,13.78,21.87,45.18,-91.57
2025-11-19,Campaign_006,Instagram,30058,963,27,579.83,5619.81,3.2,0.6,2.8,869.22
2025-11-18,Campaign_009,LinkedIn,28766,3540,107,2031.5,675.69,12.31,0.57,3.02,-66.74
2025-11-17,Campaign_005,Google Ads,67124,1899,125,597.91,9733.2,2.83,0.31,6.58,1527.87
2025-11-16,Campaign_006,Facebook,77864,4121,143,1695.91,277.42,5.29,0.41,3.47,-83.64
2025-11-15,Campaign_005,Twitter,41328,3600,33,543.16,6524.55,8.71,0.15,0.92,1101.22
2025-11-14,Campaign_003,LinkedIn,34270,2715,192,1995.67,5419.62,7.92,0.74,7.07,171.57
2025-11-13,Campaign_008,Google Ads,96979,3044,166,3531.75,9946.6,3.14,1.16,5.45,181.63
2025-11-12,Campaign_005,Google Ads,62385,1737,91,855.71,5262.32,2.78,0.49,5.24,514.97
2025-11-11,Campaign_010,Twitter,15980,4468,75,3421.95,1582.61,27.96,0.77,1.68,-53.75
2025-11-10,Campaign_009,Facebook,2791,236,140,1181.09,4206.63,8.46,5.0,59.32,256.17
2025-11-09,Campaign_003,LinkedIn,82858,3593,93,270.91,9273.65,4.34,0.08,2.59,3323.15
2025-11-08,Campaign_010,Twitter,1966,522,5,2690.05,619.37,26.55,5.15,0.96,-76.98
2025-11-07,Campaign_001,LinkedIn,2893,3723,91,2650.38,2870.98,128.69,0.71,2.44,8.32
2025-11-06,Campaign_010,LinkedIn,21498,4635,63,3405.16,4168.37,21.56,0.73,1.36,22.41
2025-11-05,Campaign_005,Twitter,97243,3094,160,4188.53,3369.2,3.18,1.35,5.17,-19.56
2025-11-04,Campaign_009,Google Ads,45832,1017,62,2822.89,8125.83,2.22,2.78,6.1,187.85
2025-11-03,Campaign_009,Instagram,81563,1302,95,1366.53,1985.92,1.6,1.05,7.3,45.33
2025-11-02,Campaign_004,Instagram,74544,3151,103,1356.2,1455.68,4.23,0.43,3.27,7.34
2025-11-01,Campaign_002,Twitter,25423,2642,177,1955.88,9963.48,10.39,0.74,6.7,409.41
2025-10-31,Campaign_002,Instagram,50114,3693,193,3514.68,9943.25,7.37,0.95,5.23,182.91
2025-10-30,Campaign_004,LinkedIn,12921,4188,186,4672.62,9844.93,32.41,1.12,4.44,110.69
2025-10-29,Campaign_001,Facebook,85404,4418,188,341.6,2671.4,5.17,0.08,4.26,682.03
2025-10-28,Campaign_010,Facebook,80542,460,93,2890.85,7648.02,0.57,6.28,20.22,164.56
2025-10-27,Campaign_010,LinkedIn,8377,2668,170,2778.73,2771.85,31.85,1.04,6.37,-0.25
2025-10-26,Campaign_005,LinkedIn,40461,4158,160,1712.09,2746.07,10.28,0.41,3.85,60.39
2025-10-25,Campaign_009,Twitter,43373,2896,161,4521.77,9817.47,6.68,1.56,5.56,117.12
2025-10-24,Campaign_003,Twitter,54721,3707,88,3390.42,1128.86,6.77,0.91,2.37,-66.7
2025-10-23,Campaign_005,Instagram,12871,4981,9,1084.64,8886.72,38.7,0.22,0.18,719.32
2025-10-22,Campaign_005,Twitter,50957,103,57,4321.25,6180.51,0.2,41.95,55.34,43.03
2025-10-21,Campaign_004,LinkedIn,13597,3561,33,2371.76,4128.07,26.19,0.67,0.93,74.05
2025-10-20,Campaign_006,Google Ads,26872,1832,60,1619.08,5060.78,6.82,0.88,3.28,212.57
2025-10-19,Campaign_004,Facebook,85561,3428,136,714.34,3402.36,4.01,0.21,3.97,376.29
2025-10-18,Campaign_002,Google Ads,51643,2320,120,4841.58,6113.17,4.49,2.09,5.17,26.26
2025-10-17,Campaign_009,Facebook,21146,1528,102,1006.81,327.18,7.23,0.66,6.68,-67.5
2025-10-16,Campaign_009,Instagram,45491,717,67,3083.73,8275.13,1.58,4.3,9.34,168.35
2025-10-15,Campaign_010,Twitter,18612,2411,157,1699.41,7964.25,12.95,0.7,6.51,368.65
2025-10-14,Campaign_003,Google Ads,42099,3651,143,1709.61,3357.55,8.67,0.47,3.92,96.39
2025-10-13,Campaign_001,Google Ads,46832,439,85,2702.26,512.22,0.94,6.16,19.36,-81.04
2025-10-12,Campaign_001,Facebook,22882,1752,17,2341.12,6289.39,7.66,1.34,0.97,168.65
2025-10-11,Campaign_010,Google Ads,94441,3190,67,2279.72,169.66,3.38,0.71,2.1,-92.56
2025-10-10,Campaign_008,Twitter,70839,4732,44,4920.24,1989.15,6.68,1.04,0.93,-59.57
2025-10-09,Campaign_009,Instagram,20328,640,68,337.55,6889.49,3.15,0.53,10.62,1941.03
2025-10-08,Campaign_006,Instagram,41107,1439,52,2998.34,5827.16,3.5,2.08,3.61,94.35
2025-10-07,Campaign_003,Facebook,90855,2288,13,4419.25,8163.75,2.52,1.93,0.57,84.73
2025-10-06,Campaign_010,LinkedIn,65806,459,6,1339.16,4857.15,0.7,2.92,1.31,262.7
2025-10-05,Campaign_009,Google Ads,42642,4483,15,4203.68,4565.56,10.51,0.94,0.33,8.61
2025-10-04,Campaign_003,Google Ads,96539,1733,197,3940.21,252.88,1.8,2.27,11.37,-93.58
2025-10-03,Campaign_004,LinkedIn,85606,4340,82,4773.23,191.63,5.07,1.1,1.89,-95.99
2025-10-02,Campaign_009,Facebook,77841,2631,138,2366.38,9186.21,3.38,0.9,5.25,288.2
2025-10-01,Campaign_008,LinkedIn,33760,2368,3,1773.57,4483.76,7.01,0.75,0.13,152.81
2025-09-30,Campaign_003,Instagram,6269,3923,158,4788.11,2098.68,62.58,1.22,4.03,-56.17
2025-09-29,Campaign_007,Instagram,38020,2655,179,3476.49,4788.15,6.98,1.31,6.74,37.73
2025-09-28,Campaign_009,LinkedIn,98183,752,86,4110.5,7373.35,0.77,5.47,11.44,79.38
2025-09-27,Campaign_004,Facebook,6155,4697,60,2943.79,3616.95,76.31,0.63,1.28,22.87
2025-09-26,Campaign_002,Twitter,35098,3867,95,2481.96,6973.56,11.02,0.64,2.46,180.97
2025-09-25,Campaign_002,Twitter,61194,4788,133,926.56,7215.48,7.82,0.19,2.78,678.74
2025-09-24,Campaign_002,Google Ads,4018,3946,109,2906.59,5691.94,98.21,0.74,2.76,95.83
2025-09-23,Campaign_003,Twitter,14967,2319,179,3504.9,9472.7,15.49,1.51,7.72,170.27
2025-09-22,Campaign_008,Instagram,55312,1742,42,1346.3,3462.35,3.15,0.77,2.41,157.18
2025-09-21,Campaign_009,Google Ads,82538,2335,45,2000.74,300.54,2.83,0.86,1.93,-84.98
2025-09-20,Campaign_005,LinkedIn,18931,111,61,3856.74,6629.55,0.59,34.75,54.95,71.9
2025-09-19,Campaign_005,Twitter,3441,4095,148,2921.57,4722.94,119.01,0.71,3.61,61.66
2025-09-18,Campaign_008,Instagram,34694,4368,7,240.91,6618.63,12.59,0.06,0.16,2647.35
2025-09-17,Campaign_003,LinkedIn,62561,2165,124,979.38,9698.44,3.46,0.45,5.73,890.26
2025-09-16,Campaign_001,Instagram,91110,2839,21,2816.92,8603.61,3.12,0.99,0.74,205.43
